,Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Build
72,Mercedes-Benz,2008,Foreign Used,289939,3500,Petrol,Automatic,"3,885,000",
73,Land Rover,2009,Nigerian Used,55181,4600,Petrol,Automatic,"9,150,000",SUV
74,Lexus,2007,Nigerian Used,252761,3500,Petrol,Automatic,"3,850,000",
75,Mercedes-Benz,2017,Nigerian Used,33801,3500,Petrol,Automatic,"27,300,000",SUV
76,Lexus,2004,Nigerian Used,226649,3300,Petrol,Automatic,"3,016,000",
77,Toyota,2012,Foreign Used,151898,2400,Petrol,Automatic,"6,760,000",
78,Ford,2016,Foreign Used,126782,3700,Petrol,Automatic,"15,435,000",
79,Toyota,2005,Nigerian Used,219842,4000,Petrol,Automatic,"3,224,000",SUV
80,Mercedes-Benz,2011,Nigerian Used,136386,5500,Petrol,Automatic,"6,825,000",SUV
81,Lexus,2004,Nigerian Used,394867,3300,Petrol,Automatic,"4,680,000",SUV
82,Toyota,2013,Foreign Used,203555,2700,Petrol,Automatic,"8,295,000",SUV
83,Mercedes-Benz,2011,Foreign Used,327553,3000,Petrol,Automatic,"6,090,000",
84,Tata,2009,Nigerian Used,468164,3700,Petrol,Manual,"4,250,000",
85,Mercedes-Benz,2006,Nigerian Used,224160,3500,Petrol,Automatic,"3,952,000",SUV
86,Ford,2013,Nigerian Used,164175,,Petrol,Automatic,"3,675,000",SUV
87,Toyota,2020,Nigerian Used,12140,4000,Petrol,Automatic,"56,700,000",SUV
88,Toyota,2013,Nigerian Used,65092,3500,Petrol,Automatic,"6,032,000",
89,Mercedes-Benz,2016,Foreign Used,50919,3500,Petrol,Automatic,"19,950,000",SUV
90,Toyota,2016,Nigerian Used,127110,2500,Petrol,Automatic,"7,280,000",
91,Toyota,2009,Nigerian Used,91447,1800,Petrol,Automatic,"3,744,000",
92,Toyota,2013,Nigerian Used,143477,3500,Petrol,Automatic,"9,360,000",SUV
93,Lexus,2009,Nigerian Used,121574,3500,Petrol,Automatic,"4,368,000",
94,Lexus,2007,Nigerian Used,252761,3500,Petrol,Automatic,"3,850,000",
95,Toyota,2010,Foreign Used,95687,3500,Petrol,Automatic,"9,360,000",SUV
96,Toyota,2012,Foreign Used,113743,3300,Petrol,Automatic,"9,048,000",
97,Toyota,2013,Nigerian Used,110675,3500,Petrol,Automatic,"7,644,000",
98,Lexus,2008,Nigerian Used,157300,2500,Petrol,Automatic,"3,640,000",
99,Ford,2017,Nigerian Used,45389,2400,Petrol,Automatic,"9,250,000",SUV
100,Lexus,2010,Foreign Used,166230,3400,Petrol,Automatic,"9,450,000",SUV
101,Lexus,2017,Nigerian Used,44843,3500,Petrol,Automatic,"26,250,000",
102,Toyota,2007,Nigerian Used,,3500,Petrol,Automatic,"3,640,000",SUV
103,Toyota,2007,Nigerian Used,216456,3500,Petrol,Automatic,"3,640,000",
104,Toyota,2014,Foreign Used,164519,2500,Petrol,Automatic,"6,300,000",
105,Hyundai,2013,Nigerian Used,86378,2400,Petrol,Automatic,"4,160,000",
106,Mercedes-Benz,2008,Foreign Used,289939,3500,Petrol,Automatic,"3,885,000",
107,Nissan,2008,Foreign Used,311352,2500,Petrol,Automatic,"3,675,000",SUV
108,Toyota,2015,Foreign Used,108335,3500,Petrol,Automatic,"15,120,000",SUV
109,Lexus,2007,Nigerian Used,107448,2500,Petrol,Automatic,"3,640,000",
110,Toyota,2008,Foreign Used,316613,3500,Petrol,Automatic,"5,200,000",
111,Toyota,2007,Nigerian Used,146297,3500,Petrol,Automatic,"3,120,000",
112,Mercedes-Benz,2008,Nigerian Used,307354,3500,Petrol,Automatic,"3,225,000",
113,Lexus,2011,Nigerian Used,158587,3500,Petrol,Automatic,"4,515,000",
114,Toyota,2007,Nigerian Used,109651,3500,Petrol,Automatic,"4,056,000",SUV
115,Lexus,2007,Nigerian Used,174335,3500,Petrol,Automatic,"3,045,000",
116,Toyota,2006,Foreign Used,198030,1800,Petrol,Automatic,"3,848,000",
117,Toyota,2010,Foreign Used,145980,2400,Petrol,Automatic,"4,515,000",
118,Toyota,2004,Foreign Used,132614,2400,Petrol,Automatic,"3,952,000",
119,Lexus,2011,Nigerian Used,184980,3500,Petrol,Automatic,"4,200,000",
120,Toyota,2015,Foreign Used,135678,2500,Petrol,Automatic,"13,520,000",SUV
121,Mercedes-Benz,2006,Nigerian Used,300323,3500,Petrol,Automatic,"3,675,000",SUV
122,Toyota,2009,Nigerian Used,141023,2700,Petrol,Automatic,"5,250,000",SUV
123,Toyota,2011,Nigerian Used,151955,3500,Petrol,Automatic,"5,250,000",SUV
124,Toyota,2014,Foreign Used,160600,,Petrol,Automatic,"6,720,000",
125,Toyota,2005,Nigerian Used,204586,3500,Petrol,Automatic,"3,640,000",
126,Toyota,2005,Nigerian Used,305026,3300,Petrol,Automatic,"5,720,000",
127,Hyundai,2011,Nigerian Used,119874,2400,Petrol,Automatic,"3,150,000",
128,Hyundai,2008,Foreign Used,290680,3300,Petrol,Automatic,"4,680,000",SUV
129,Mercedes-Benz,2008,Nigerian Used,319974,3000,Petrol,Automatic,"4,888,000",
130,Toyota,2012,Foreign Used,92088,2500,Petrol,Automatic,"5,775,000",
131,Nissan,2010,Foreign Used,252529,2000,Petrol,CVT,"3,150,000",
132,Toyota,2013,Nigerian Used,335712,2700,Petrol,Manual,"6,300,000",
133,Lexus,2006,Nigerian Used,160742,3500,Petrol,Automatic,"3,328,000",
134,Toyota,2014,Nigerian Used,149674,2700,Petrol,Automatic,"15,800,000",SUV
135,Toyota,2005,Nigerian Used,204586,3500,Petrol,Automatic,"3,640,000",
136,Hyundai,2015,Nigerian Used,112062,2400,Petrol,Automatic,"5,825,000",SUV
137,Toyota,2008,Nigerian Used,91116,1600,Petrol,Automatic,"2,625,000",
138,Toyota,2009,Nigerian Used,141023,2700,Petrol,Automatic,"5,250,000",SUV
139,Nissan,2010,Foreign Used,252529,2000,Petrol,CVT,"3,150,000",
140,Hyundai,2011,Nigerian Used,204078,1800,Petrol,Automatic,"3,097,500",
