,Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Build
648,Toyota,2005,Nigerian Used,299999,1800,Petrol,Automatic,"2,310,000",
649,Hyundai,2009,Nigerian Used,151511,2000,Petrol,Automatic,"1,875,000",
650,Toyota,2010,Nigerian Used,117085,1800,Petrol,Automatic,"2,940,000",
651,Lexus,2013,Foreign Used,189760,3500,Petrol,Automatic,"11,550,000",SUV
652,Scion,2012,Foreign Used,188023,1600,Petrol,Automatic,"4,200,000",
653,Volkswagen,1999,Nigerian Used,319241,1500,Petrol,Manual,"1,260,000",
654,Toyota,2005,Nigerian Used,283837,2400,Petrol,Automatic,"2,100,000",SUV
655,Toyota,2007,Nigerian Used,98731,3300,Petrol,Automatic,"1,892,500",SUV
656,Toyota,2007,Nigerian Used,168881,2400,Petrol,Automatic,"2,415,000",
657,Toyota,2009,Nigerian Used,204038,1800,Petrol,Automatic,"2,520,000",
658,Jeep,2006,Nigerian Used,164333,4700,Petrol,Automatic,"2,310,000",SUV
659,Ford,2008,Nigerian Used,137376,3500,Petrol,Automatic,"1,890,000",
660,Toyota,2005,Nigerian Used,113512,1800,Petrol,Automatic,"1,890,000",
661,Toyota,2005,Nigerian Used,143330,1800,Petrol,Automatic,"2,704,000",
662,Honda,2004,Nigerian Used,291742,3500,Petrol,Automatic,"1,575,000",SUV
663,Toyota,2005,Nigerian Used,126795,2400,Petrol,Automatic,"2,205,000",SUV
664,Lexus,2016,Nigerian Used,198251,3500,Petrol,Automatic,"17,950,000",SUV
665,Toyota,2005,Nigerian Used,173456,1800,Petrol,Automatic,"2,310,000",
666,Honda,2008,Nigerian Used,95535,2400,Petrol,Automatic,"2,712,000",
667,Toyota,2005,Foreign Used,341247,1800,Petrol,Automatic,"3,570,000",
668,Toyota,2009,Nigerian Used,224868,1800,Petrol,Automatic,"2,625,000",
669,Ford,2010,Nigerian Used,214273,3000,Petrol,Automatic,"1,680,000",
670,Honda,2006,Nigerian Used,104687,3500,Petrol,Automatic,"1,890,000",SUV
671,Lexus,2005,Nigerian Used,182365,3300,Petrol,Automatic,"2,625,000",
672,BMW,2013,Nigerian Used,228481,3000,Petrol,Automatic,"4,600,000",
673,Toyota,2004,Nigerian Used,99906,1800,Petrol,Automatic,"3,640,000",
674,Toyota,2011,Nigerian Used,109942,2500,Petrol,Automatic,"3,255,000",
675,Lexus,2003,Nigerian Used,204636,3000,Petrol,Automatic,"2,310,000",
676,Toyota,2007,Nigerian Used,168881,2400,Petrol,Automatic,"2,415,000",
677,Hyundai,2010,Nigerian Used,102058,2000,Petrol,Automatic,"1,575,000",
678,Ford,2010,Nigerian Used,284713,3500,Petrol,Automatic,"2,835,000",SUV
679,Toyota,2005,Nigerian Used,191329,1800,Petrol,Manual,"1,785,000",
680,Toyota,2003,Nigerian Used,367668,2400,Petrol,Automatic,"1,785,000",
681,Toyota,2006,Nigerian Used,175686,1500,Petrol,Automatic,"2,100,000",SUV
682,Toyota,2005,Nigerian Used,173456,1800,Petrol,Automatic,"2,310,000",
683,Kia,2010,Nigerian Used,71532,1800,Petrol,Automatic,"2,100,000",
684,Honda,2003,Nigerian Used,226905,2400,Petrol,Automatic,"1,365,000",
685,Toyota,2003,Nigerian Used,533974,3000,Petrol,Automatic,"1,664,000",
686,Toyota,2007,Nigerian Used,169887,2400,Petrol,Automatic,"2,625,000",
687,Mercedes-Benz,2003,Nigerian Used,150000,2400,Petrol,Automatic,"1,872,000",
688,Toyota,2008,Nigerian Used,93290,2400,Petrol,Automatic,"2,625,000",
689,Lexus,2003,Nigerian Used,258416,3000,Petrol,Automatic,"2,912,000",SUV
690,Toyota,2001,Nigerian Used,157598,1300,Petrol,Automatic,"1,525,000",SUV
691,Pontiac,2009,Foreign Used,232277,2400,Petrol,Automatic,"3,885,000",
692,BMW,2010,Nigerian Used,27052,3500,Petrol,Automatic,"6,750,000",
693,Toyota,2012,Nigerian Used,181597,2500,Petrol,Automatic,"4,692,000",
694,Ford,2013,Nigerian Used,40832,3500,Petrol,Automatic,"4,200,000",SUV
695,Honda,2010,Nigerian Used,145368,3500,Petrol,Automatic,"2,940,000",
696,Toyota,2005,Foreign Used,341247,1800,Petrol,Automatic,"3,570,000",
697,Volkswagen,2010,Nigerian Used,265644,2000,Petrol,Automatic,"2,415,000",
698,Toyota,2007,Nigerian Used,234125,2800,Petrol,Automatic,"2,625,000",
699,Nissan,2013,Nigerian Used,143979,2500,Petrol,Automatic,"3,150,000",
700,Toyota,2004,Nigerian Used,99906,1800,Petrol,Automatic,"3,640,000",
701,Mercedes-Benz,2006,Nigerian Used,144793,4000,Petrol,Automatic,"2,310,000",
702,Toyota,2010,Nigerian Used,98840,1800,Petrol,Automatic,"3,640,000",
703,Toyota,2009,Nigerian Used,98563,3500,Petrol,Automatic,"5,200,000",SUV
704,Honda,2003,Nigerian Used,207827,2400,Petrol,Automatic,"1,260,000",
705,Lexus,2006,Nigerian Used,147534,3500,Petrol,Automatic,"3,045,000",
706,Honda,2005,Nigerian Used,278891,2400,Petrol,Automatic,"1,560,000",
707,Toyota,2006,Nigerian Used,146626,2400,Petrol,Automatic,"2,105,750",
708,Toyota,2007,Nigerian Used,169887,2400,Petrol,Automatic,"2,625,000",
709,Toyota,2003,Nigerian Used,523045,2400,Petrol,Automatic,"1,842,750",
710,Mercedes-Benz,2010,Nigerian Used,160522,4700,Petrol,Automatic,"4,725,000",SUV
711,Honda,2003,Nigerian Used,156048,3500,Petrol,Automatic,"1,680,000",
712,Hyundai,2008,Nigerian Used,126493,2000,Petrol,Automatic,"2,600,000",
713,Toyota,2005,Nigerian Used,191329,1800,Petrol,Manual,"1,785,000",
714,Toyota,2008,Nigerian Used,93290,2400,Petrol,Automatic,"2,625,000",
715,Honda,2011,Nigerian Used,56564,3500,Petrol,Automatic,"2,404,500",
716,Honda,2003,Nigerian Used,207827,2400,Petrol,Automatic,"1,260,000",
717,Hyundai,2007,Nigerian Used,306131,2400,Petrol,Automatic,"1,995,000",
718,Nissan,2007,Nigerian Used,241606,2500,Petrol,Automatic,"2,940,000",
719,Honda,2007,Nigerian Used,251435,3000,Petrol,Automatic,"1,575,000",
720,Mercedes-Benz,2006,Nigerian Used,144793,4000,Petrol,Automatic,"2,310,000",
721,Kia,2013,Nigerian Used,120182,1600,Petrol,Automatic,"2,625,000",
722,Nissan,2014,Nigerian Used,83190,2500,Petrol,Automatic,"3,360,000",
723,Kia,2009,Foreign Used,196362,1400,Petrol,Automatic,"1,680,000",
724,Honda,2010,Nigerian Used,145368,3500,Petrol,Automatic,"2,940,000",
725,Honda,2008,Nigerian Used,116982,2400,Petrol,Automatic,"2,704,000",
726,Lexus,2000,Nigerian Used,193031,3000,Petrol,Automatic,"1,569,750",SUV
727,Toyota,2011,Foreign Used,232300,1800,Petrol,Automatic,"6,350,000",
728,Toyota,2007,Nigerian Used,234125,2800,Petrol,Automatic,"2,625,000",
729,Volkswagen,1992,Nigerian Used,354245,2000,Petrol,Manual,"1,575,000",
730,Toyota,2000,Nigerian Used,326021,3000,Petrol,Automatic,"2,080,000",SUV
731,Toyota,2011,Nigerian Used,158779,2400,Petrol,Automatic,"4,583,250",SUV
732,Mazda,2002,Nigerian Used,189610,3000,Petrol,Automatic,"1,575,000",
733,Nissan,2002,Nigerian Used,394682,1800,Petrol,Automatic,"1,248,000",
734,Kia,2005,Nigerian Used,156233,3500,Petrol,Automatic,"1,575,000",SUV
735,Toyota,2002,Nigerian Used,394769,3000,Petrol,Automatic,"1,264,000",
736,Ford,2007,Nigerian Used,307057,3500,Petrol,Automatic,"2,100,000",SUV
737,Lexus,2007,Nigerian Used,151974,2500,Petrol,Automatic,"4,275,000",
738,Nissan,2011,Nigerian Used,343537,2500,Petrol,CVT,"1,575,000",
739,Toyota,2001,Nigerian Used,277582,4700,Petrol,Automatic,"2,625,000",SUV
740,Hyundai,2007,Foreign Used,171469,2700,Petrol,Automatic,"4,472,000",SUV
741,Toyota,2000,Nigerian Used,358273,2200,Petrol,Automatic,"1,253,333",
742,Lexus,2000,Nigerian Used,167599,3000,Petrol,Automatic,"1,890,000",SUV
743,Toyota,2003,Nigerian Used,452956,1800,Petrol,Manual,"1,323,000",
744,Acura,2008,Nigerian Used,144763,3700,Petrol,Automatic,"1,890,000",SUV
745,Toyota,2004,Nigerian Used,,4700,Petrol,Automatic,"2,100,000",SUV
746,Toyota,2005,Nigerian Used,249985,3500,Petrol,Automatic,"1,942,500",SUV
747,Toyota,2011,Foreign Used,150455,2500,Petrol,Automatic,"6,240,000",
748,Honda,2007,Foreign Used,246676,2400,Petrol,Automatic,"2,310,000",
749,Volkswagen,2013,Nigerian Used,167130,2500,Petrol,Automatic,"4,512,000",
750,Volkswagen,2013,Nigerian Used,167130,2500,Petrol,Automatic,"4,512,000",
751,Peugeot,2009,Nigerian Used,271172,2900,Petrol,Automatic,"1,575,000",
752,Peugeot,2008,Nigerian Used,306847,1600,Petrol,Manual,"1,560,000",
753,Mazda,2007,Nigerian Used,136320,2300,Petrol,Automatic,"2,100,000",
754,BMW,2004,Nigerian Used,254815,3500,Petrol,Automatic,"1,575,000",
755,Toyota,2000,Nigerian Used,358273,2200,Petrol,Automatic,"1,253,333",
756,Mitsubishi,2005,Foreign Used,193682,2400,Petrol,Automatic,"1,925,000",
757,Toyota,2006,Nigerian Used,158668,1800,Petrol,Automatic,"2,100,000",
758,Honda,2004,Foreign Used,139159,2400,Petrol,Automatic,"1,680,000",SUV
759,Mazda,2004,Nigerian Used,225389,2300,Petrol,Automatic,"1,890,000",
760,Peugeot,2009,Nigerian Used,283600,2000,Petrol,Automatic,"1,470,000",
761,Hyundai,2007,Foreign Used,171469,2700,Petrol,Automatic,"4,472,000",SUV
762,Toyota,2008,Nigerian Used,125935,1800,Petrol,Manual,"2,310,000",
763,Honda,2004,Nigerian Used,304762,2400,Petrol,Automatic,"1,260,000",
764,Toyota,2007,Nigerian Used,122934,2400,Petrol,Automatic,"2,730,000",
765,Honda,2012,Nigerian Used,158019,2500,Petrol,Automatic,"4,160,000",
766,Honda,2004,Nigerian Used,304762,2400,Petrol,Automatic,"1,260,000",
767,Hyundai,2005,Nigerian Used,62076,3500,Petrol,Automatic,"1,470,000",SUV
768,BMW,2004,Nigerian Used,254815,3500,Petrol,Automatic,"1,575,000",
769,Volvo,2004,Nigerian Used,256289,3500,Petrol,Automatic,"2,100,000",SUV
770,Mazda,2004,Nigerian Used,225389,2300,Petrol,Automatic,"1,890,000",
771,Toyota,2006,Nigerian Used,158668,1800,Petrol,Automatic,"2,100,000",
772,Lexus,2004,Nigerian Used,354906,3300,Petrol,Automatic,"2,310,000",
773,Honda,2004,Foreign Used,139159,2400,Petrol,Automatic,"1,680,000",SUV
774,Peugeot,2009,Nigerian Used,283600,2000,Petrol,Automatic,"1,470,000",
775,BMW,2004,Nigerian Used,206472,3000,Petrol,Automatic,"2,073,750",
776,Mitsubishi,2005,Foreign Used,193682,2400,Petrol,Automatic,"1,925,000",
777,Toyota,2004,Foreign Used,181035,2400,Petrol,Automatic,"3,675,000",SUV
778,Kia,2010,Nigerian Used,250214,1600,Petrol,Manual,"1,375,000",
779,Honda,2007,Nigerian Used,232470,2400,Petrol,Automatic,"2,457,000",
780,Toyota,2012,Nigerian Used,232372,1800,Petrol,Manual,"2,100,000",
781,Peugeot,2009,Nigerian Used,271172,2900,Petrol,Automatic,"1,575,000",
782,Audi,2011,Nigerian Used,229312,3500,Petrol,Automatic,"4,725,000",SUV
783,Honda,2007,Foreign Used,202213,3500,Petrol,Automatic,"3,780,000",SUV
784,Volkswagen,2001,Foreign Used,276256,1600,,Manual,"1,890,000",
785,Toyota,2009,Nigerian Used,236947,3500,Petrol,Automatic,"2,635,000",
786,Honda,2003,Nigerian Used,227409,2400,Petrol,Automatic,"1,456,000",
787,Honda,2005,Nigerian Used,207002,3500,Petrol,Automatic,"2,288,000",
788,Mazda,2007,Nigerian Used,136320,2300,Petrol,Automatic,"2,100,000",
789,Hyundai,2014,Nigerian Used,152062,1800,Petrol,Automatic,"3,360,000",
790,Jeep,2003,Nigerian Used,236492,3700,Petrol,Automatic,"1,785,000",SUV
791,Toyota,2013,Nigerian Used,102263,2500,Hybrid,Automatic,"3,360,000",
792,Dodge,2001,Nigerian Used,,3300,Petrol,Automatic,"1,575,000",
793,Lexus,2002,Nigerian Used,149319,3000,Petrol,Automatic,"1,995,000",SUV
794,Honda,2004,Nigerian Used,162901,3500,Petrol,Automatic,"1,470,000",SUV
795,Infiniti,2004,Nigerian Used,75099,3500,Petrol,Automatic,"1,680,000",SUV
796,Honda,2007,Nigerian Used,232470,2400,Petrol,Automatic,"2,457,000",
797,Toyota,2004,Foreign Used,181035,2400,Petrol,Automatic,"3,675,000",SUV
798,Honda,2012,Nigerian Used,158019,2500,Petrol,Automatic,"4,160,000",
799,Toyota,2003,Nigerian Used,353938,2400,Petrol,Automatic,"1,785,000",
800,Toyota,2009,Nigerian Used,236947,3500,Petrol,Automatic,"2,635,000",
801,Toyota,2008,Nigerian Used,94247,1400,Petrol,Manual,"1,785,000",
802,Toyota,2003,Nigerian Used,152441,3500,Petrol,Automatic,"2,404,500",SUV
803,Honda,2003,Nigerian Used,227409,2400,Petrol,Automatic,"1,456,000",
804,Kia,2003,Nigerian Used,192087,3500,Petrol,Automatic,"2,100,000",
805,Honda,2009,Nigerian Used,128919,1500,Petrol,Automatic,"2,625,000",
806,Hyundai,2014,Nigerian Used,152062,1800,Petrol,Automatic,"3,360,000",
807,BMW,2007,Nigerian Used,222127,3000,Petrol,Automatic,"1,800,000",
808,Mazda,2004,Foreign Used,190713,2400,Petrol,Manual,"2,677,500",
809,Toyota,2012,Nigerian Used,135791,2500,Petrol,Automatic,"4,200,000",
810,Honda,2005,Nigerian Used,207002,3500,Petrol,Automatic,"2,288,000",
811,Honda,2005,Nigerian Used,142845,2500,Petrol,Automatic,"1,323,000",
812,BMW,2007,Nigerian Used,282765,3000,Petrol,Automatic,"2,625,000",
813,Kia,2014,Nigerian Used,59358,1400,Petrol,Manual,"1,575,000",
814,Toyota,2004,Nigerian Used,333822,2400,Petrol,Automatic,"1,984,500",
815,Honda,2003,Nigerian Used,47026,2400,Petrol,Automatic,"1,456,000",
816,Honda,2007,Foreign Used,202213,3500,Petrol,Automatic,"3,780,000",SUV
817,Volkswagen,2013,Nigerian Used,54344,2000,Petrol,Automatic,"2,835,000",SUV
818,Peugeot,2005,Nigerian Used,,2000,Petrol,Automatic,"2,100,000",
819,Toyota,2007,Nigerian Used,197276,1500,Petrol,Automatic,"3,150,000",
820,Toyota,2015,Nigerian Used,162495,2500,Petrol,Automatic,"7,245,000",SUV
821,Toyota,2010,Nigerian Used,259112,1800,Petrol,Manual,"1,575,000",
822,Kia,2013,Nigerian Used,210169,1600,Petrol,Automatic,"1,300,000",
823,Mercedes-Benz,2001,Nigerian Used,292618,3200,Petrol,Automatic,"1,785,000",
824,Toyota,2005,Nigerian Used,235145,3500,Petrol,Automatic,"1,890,000",
825,Honda,2003,Nigerian Used,323567,3000,Petrol,Automatic,"1,289,925",
826,Volvo,1999,Nigerian Used,272746,2900,Petrol,Automatic,"1,312,500",
827,Toyota,2000,Nigerian Used,213880,3000,Petrol,Automatic,"1,575,000",
828,Toyota,2008,Nigerian Used,94247,1400,Petrol,Manual,"1,785,000",
829,Toyota,2006,Nigerian Used,335088,3300,Petrol,Automatic,"1,425,000",
830,Hyundai,2004,Nigerian Used,301489,2400,Petrol,Manual,"1,312,500",SUV
831,Kia,2014,Nigerian Used,59358,1400,Petrol,Manual,"1,575,000",
832,Mercedes-Benz,2001,Nigerian Used,292618,3200,Petrol,Automatic,"1,785,000",
833,Toyota,2012,Nigerian Used,44254,3500,Petrol,Automatic,"8,320,000",SUV
834,BMW,2007,Nigerian Used,222127,3000,Petrol,Automatic,"1,800,000",
835,Toyota,2006,Nigerian Used,478080,,Petrol,Automatic,"2,100,000",
836,Audi,1995,Nigerian Used,298726,1600,Petrol,Manual,"1,470,000",
837,Mercedes-Benz,2016,Nigerian Used,93692,3500,Petrol,Automatic,"16,800,000",SUV
838,Lexus,2008,Nigerian Used,75555,3500,Petrol,Automatic,"3,990,000",SUV
839,Kia,2020,Brand New,38816,2000,Petrol,Automatic,"14,700,000",SUV
840,Audi,1995,Nigerian Used,298726,1600,Petrol,Manual,"1,470,000",
841,Toyota,2006,Nigerian Used,478080,,Petrol,Automatic,"2,100,000",
842,Lexus,2003,Nigerian Used,226944,4700,Petrol,Automatic,"4,095,000",
843,Toyota,2012,Nigerian Used,44254,3500,Petrol,Automatic,"8,320,000",SUV
844,Lexus,2003,Nigerian Used,325987,4700,Petrol,Automatic,"6,240,000",SUV
845,Mercedes-Benz,2016,Nigerian Used,93692,3500,Petrol,Automatic,"16,800,000",SUV
846,Toyota,2008,Nigerian Used,154459,2400,Petrol,Automatic,"2,625,000",
847,Toyota,2012,Nigerian Used,102422,1800,Petrol,Automatic,"2,940,000",
848,Honda,2004,Nigerian Used,215410,3500,Petrol,Automatic,"1,470,000",SUV
849,Kia,2020,Brand New,38816,2000,Petrol,Automatic,"14,700,000",SUV
850,Ford,2013,Nigerian Used,159032,2000,Petrol,Automatic,"3,675,000",SUV
851,Hyundai,2008,Nigerian Used,177373,2000,Petrol,Automatic,"1,680,000",
852,Honda,2008,Nigerian Used,205867,2400,Petrol,Automatic,"2,173,500",
853,Toyota,2006,Nigerian Used,372983,2400,Petrol,Automatic,"2,400,000",
854,Peugeot,2003,Nigerian Used,182788,1600,Petrol,Automatic,"1,890,000",
855,Peugeot,2003,Nigerian Used,182788,1600,Petrol,Automatic,"1,890,000",
856,Lexus,2008,Nigerian Used,75555,3500,Petrol,Automatic,"3,990,000",SUV
857,Hyundai,2012,Nigerian Used,219295,1800,Petrol,Automatic,"3,952,005",
858,BMW,2010,Foreign Used,177204,3000,Petrol,Automatic,"4,200,000",
859,Hyundai,2013,Nigerian Used,183809,1800,Petrol,Automatic,"2,100,000",
860,Mercedes-Benz,2017,Nigerian Used,90298,2000,Petrol,Automatic,"14,700,000",SUV
861,Toyota,1999,Nigerian Used,157996,2300,Petrol,Automatic,"1,352,000",
862,Honda,2003,Nigerian Used,361798,2400,Petrol,Automatic,"1,010,000",
863,Mercedes-Benz,2008,Nigerian Used,256332,3500,Petrol,Automatic,"4,888,000",
864,Honda,2005,Nigerian Used,263115,2500,Petrol,Automatic,"1,260,000",
865,Honda,2005,Nigerian Used,199513,2400,Petrol,Automatic,"1,323,000",
866,Toyota,1997,Nigerian Used,350248,1800,Petrol,Manual,"1,575,000",
867,Toyota,2008,Nigerian Used,200348,1300,Petrol,Manual,"2,100,000",
868,Audi,2010,Nigerian Used,192512,2000,Petrol,Automatic,"2,925,000",
869,Toyota,2007,Nigerian Used,232115,1300,Petrol,Manual,"1,785,000",
870,Toyota,2000,Foreign Used,189137,2000,Petrol,Automatic,"1,785,000",
871,Toyota,1997,Nigerian Used,350248,1800,Petrol,Manual,"1,575,000",
872,Toyota,2003,Nigerian Used,291117,2400,Petrol,Automatic,"1,890,000",
873,Nissan,2015,Nigerian Used,78987,2400,Petrol,Automatic,"2,415,000",
874,Honda,2009,Nigerian Used,128919,1500,Petrol,Automatic,"2,625,000",
875,Toyota,2007,Nigerian Used,274044,1800,Petrol,Automatic,"2,310,000",
876,Toyota,1998,Nigerian Used,270477,3000,Petrol,Automatic,"1,575,000",
877,Honda,2005,Nigerian Used,199513,2400,Petrol,Automatic,"1,323,000",
878,Toyota,2012,Nigerian Used,149649,2000,Petrol,Automatic,"3,622,500",
879,Toyota,1999,Nigerian Used,417054,2200,Petrol,Automatic,"1,560,000",
880,Mercedes-Benz,2011,Nigerian Used,95334,3500,Petrol,Automatic,"5,565,000",SUV
881,Honda,2005,Nigerian Used,263115,2500,Petrol,Automatic,"1,260,000",
882,Mercedes-Benz,2011,Nigerian Used,264033,3500,Petrol,Automatic,"7,540,000",SUV
883,BMW,2010,Foreign Used,177204,3000,Petrol,Automatic,"4,200,000",
884,Kia,2012,Nigerian Used,111843,1600,Petrol,Automatic,"1,940,000",
885,Toyota,1999,Nigerian Used,417054,2200,Petrol,Automatic,"1,560,000",
886,Toyota,2004,Nigerian Used,328746,2300,Petrol,Automatic,"1,680,000",
887,Honda,2003,Nigerian Used,177632,3000,Petrol,Automatic,"1,275,750",
888,Mazda,2000,Nigerian Used,253345,3000,Petrol,Automatic,"1,050,000",
889,Toyota,1998,Nigerian Used,270477,3000,Petrol,Automatic,"1,575,000",
890,Toyota,2007,Nigerian Used,218772,1800,Petrol,Automatic,"1,785,000",
891,Toyota,2009,Nigerian Used,130715,1800,Petrol,Automatic,"3,640,000",
892,Nissan,2000,Nigerian Used,183215,1800,Petrol,Automatic,"1,050,000",
893,Ford,2008,Nigerian Used,290102,3500,Petrol,Automatic,"1,275,000",SUV
894,Toyota,2003,Nigerian Used,297119,1800,Petrol,Automatic,"1,575,000",
895,Mercedes-Benz,1998,Nigerian Used,480885,2300,Petrol,Automatic,"1,050,000",
896,Toyota,2003,Nigerian Used,291117,2400,Petrol,Automatic,"1,890,000",
897,Toyota,2003,Nigerian Used,206879,1800,Petrol,Automatic,"2,392,000",
898,Mazda,2002,Nigerian Used,118031,3000,Petrol,Automatic,"1,365,000",
899,Mercedes-Benz,2011,Nigerian Used,264033,3500,Petrol,Automatic,"7,540,000",SUV
900,Toyota,2003,Nigerian Used,363047,3000,Petrol,Automatic,"1,575,000",
901,Toyota,2003,Nigerian Used,294389,2400,Petrol,Automatic,"1,575,000",
902,Toyota,2007,Nigerian Used,502849,2700,Petrol,Automatic,"5,720,000",
903,Mercedes-Benz,2010,Nigerian Used,303553,3000,Petrol,Automatic,"3,780,000",
904,Hyundai,2003,Nigerian Used,106264,2000,Petrol,Automatic,"1,260,000",
905,Honda,2019,Nigerian Used,44499,1600,Petrol,Automatic,"5,250,000",
906,Hyundai,2009,Nigerian Used,212896,2400,Petrol,Automatic,"1,470,000",
907,Mercedes-Benz,2003,Nigerian Used,271341,2600,Petrol,Automatic,"1,768,000",
908,Toyota,2006,Nigerian Used,173429,1800,Petrol,Automatic,"1,890,000",
909,Volkswagen,2013,Nigerian Used,130829,1600,Petrol,Automatic,"2,190,000",
910,Chevrolet,2003,Nigerian Used,153202,3100,Petrol,Automatic,"1,575,000",
911,Honda,2004,Nigerian Used,254876,2400,Petrol,Automatic,"1,260,000",
912,Toyota,2006,Nigerian Used,303450,3300,Petrol,Automatic,"3,640,000",SUV
913,Lexus,2007,Foreign Used,440167,3500,Petrol,Automatic,"5,625,000",
914,Mitsubishi,2000,Nigerian Used,169856,3500,Petrol,Automatic,"1,050,000",
915,Hyundai,2013,Nigerian Used,162721,2000,Petrol,Automatic,"4,275,000",
916,Toyota,2004,Nigerian Used,214803,3300,Petrol,Automatic,"2,100,000",SUV
917,Honda,2004,Nigerian Used,254876,2400,Petrol,Automatic,"1,260,000",
918,Ford,2008,Nigerian Used,290102,3500,Petrol,Automatic,"1,275,000",SUV
919,Mercedes-Benz,2003,Nigerian Used,271341,2600,Petrol,Automatic,"1,768,000",
920,Honda,2006,Foreign Used,279782,,Petrol,Automatic,"2,940,000",
921,Honda,2003,Nigerian Used,208331,2400,Petrol,Automatic,"1,302,000",
922,Lexus,2007,Nigerian Used,212412,3500,Petrol,Automatic,"3,150,000",
923,Hyundai,2009,Nigerian Used,212896,2400,Petrol,Automatic,"1,470,000",
924,Volkswagen,2013,Nigerian Used,130829,1600,Petrol,Automatic,"2,190,000",
925,Toyota,2003,Nigerian Used,146331,2000,Petrol,Automatic,"1,470,000",
926,Toyota,2007,Nigerian Used,98404,2400,Petrol,Automatic,"2,625,000",
927,Mercedes-Benz,2007,Nigerian Used,728845,3500,Petrol,Automatic,"3,937,500",SUV
928,Mercedes-Benz,2002,Nigerian Used,2629,2600,Petrol,Automatic,"1,050,000",
929,Mercedes-Benz,2011,Nigerian Used,146652,3500,Petrol,Automatic,"5,145,000",SUV
930,Mitsubishi,2014,Nigerian Used,101472,2400,Petrol,Manual,"4,200,000",
931,Honda,2012,Nigerian Used,70241,2400,Petrol,Automatic,"2,572,500",
932,Toyota,2006,Nigerian Used,297389,3300,Petrol,Automatic,"1,890,000",
933,Peugeot,2005,Foreign Used,170829,1800,Petrol,Manual,"1,653,750",
934,Honda,2019,Nigerian Used,9002,3500,Petrol,Automatic,"36,750,000",
935,Kia,2013,Nigerian Used,99612,3500,Petrol,Automatic,"5,775,000",SUV
936,Honda,2007,Nigerian Used,268750,1600,Hybrid,Automatic,"1,768,000",
937,Toyota,2003,Nigerian Used,324262,2400,Petrol,Automatic,"1,575,000",
938,BMW,2008,Nigerian Used,167897,2700,Petrol,Automatic,"1,942,500",
939,Peugeot,2009,Nigerian Used,248404,2200,Petrol,Automatic,"2,625,000",
940,Lexus,2007,Foreign Used,440167,3500,Petrol,Automatic,"5,625,000",
941,Toyota,2009,Nigerian Used,82868,3500,Petrol,Automatic,"4,680,000",SUV
942,Lexus,2007,Foreign Used,198420,3300,Hybrid,Automatic,"6,615,000",SUV
943,Hyundai,2008,Nigerian Used,262422,3300,Petrol,Automatic,"2,808,000",
944,Toyota,2010,Nigerian Used,268470,3500,Petrol,Automatic,"5,775,000",
945,Kia,2013,Nigerian Used,99612,3500,Petrol,Automatic,"5,775,000",SUV
946,BMW,2007,Foreign Used,359309,3000,Petrol,Automatic,"3,570,000",SUV
947,Toyota,2014,Nigerian Used,71303,1800,Petrol,Automatic,"5,145,000",
948,Honda,2007,Nigerian Used,221275,2400,Petrol,Automatic,"1,470,000",
949,Honda,2003,Nigerian Used,,1700,Petrol,Automatic,"1,560,000",
950,Toyota,2001,Nigerian Used,270407,2400,Petrol,Automatic,"1,260,000",
951,Honda,2003,Nigerian Used,177975,2000,Petrol,Automatic,"1,664,000",
952,Mitsubishi,2014,Nigerian Used,101472,2400,Petrol,Manual,"4,200,000",
953,Lexus,2008,Nigerian Used,281507,3500,Petrol,Automatic,"4,940,000",SUV
954,Hyundai,2008,Nigerian Used,262422,3300,Petrol,Automatic,"2,808,000",
955,Toyota,2009,Nigerian Used,82868,3500,Petrol,Automatic,"4,680,000",SUV
956,Honda,2004,Nigerian Used,399798,2400,Petrol,Automatic,"1,260,000",
957,Peugeot,2004,Nigerian Used,278206,2000,Petrol,Manual,"2,100,000",
958,Toyota,2010,Nigerian Used,268470,3500,Petrol,Automatic,"5,775,000",
959,Lexus,2007,Foreign Used,198420,3300,Hybrid,Automatic,"6,615,000",SUV
960,Toyota,2010,Nigerian Used,137654,2500,Petrol,Automatic,"5,062,500",
961,Toyota,2005,Nigerian Used,162318,1800,Petrol,Automatic,"2,315,250",
962,BMW,2007,Foreign Used,359309,3000,Petrol,Automatic,"3,570,000",SUV
963,Toyota,2013,Nigerian Used,121221,2500,Petrol,Automatic,"4,515,000",
964,Mercedes-Benz,2010,Foreign Used,275116,3500,Petrol,Automatic,"6,300,000",
965,Peugeot,2004,Nigerian Used,278206,2000,Petrol,Manual,"2,100,000",
966,Ford,2014,Nigerian Used,160962,2000,Petrol,Automatic,"3,675,000",
967,Toyota,2007,Nigerian Used,223290,5700,Petrol,Automatic,"10,125,000",
968,Toyota,2003,Foreign Used,268342,2400,Petrol,Automatic,"3,825,000",
969,Lexus,2011,Nigerian Used,172889,3500,Petrol,Automatic,"7,549,500",SUV
970,Toyota,2008,Foreign Used,149850,1800,Petrol,Automatic,"2,625,000",
971,Volkswagen,2009,Nigerian Used,201489,1800,Petrol,Automatic,"1,260,000",
972,Honda,2008,Nigerian Used,394970,1800,Petrol,Automatic,"1,365,000",
973,Honda,2007,Nigerian Used,221275,2400,Petrol,Automatic,"1,470,000",
974,Mercedes-Benz,2008,Nigerian Used,222810,2500,Petrol,Automatic,"2,625,000",
